Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-04-18,BPCL,EQ,357.5,358.0,365.0,353.8,362.95,362.9,361.23,4787566,172943232850000.0,57653,1161074,0.2425
2019-04-22,BPCL,EQ,362.9,353.8,354.4,339.0,339.95,340.1,344.1,6921422,238168806090000.0,79064,1614917,0.23329999999999998
2019-04-23,BPCL,EQ,340.1,338.0,342.35,333.45,337.0,336.35,336.39,8348582,280841743285000.0,119895,3245262,0.3887
2019-04-24,BPCL,EQ,336.35,340.1,349.9,340.1,348.95,349.0,345.46,6936714,239636756500000.0,76242,1599187,0.2305
2019-04-25,BPCL,EQ,349.0,348.95,359.45,347.6,357.8,358.25,356.27,9780157,348435387615000.0,116488,3788880,0.3874
2019-04-26,BPCL,EQ,358.25,357.8,372.3,357.8,371.8,371.05,367.61,9284106,341292167775000.0,108917,3137955,0.33799999999999997
2019-04-30,BPCL,EQ,371.05,373.35,383.8,369.55,380.1,379.85,376.21,9814929,369247556575000.0,140975,3712261,0.37820000000000004
2019-05-02,BPCL,EQ,379.85,380.1,382.9,376.0,379.3,378.45,378.53,3848974,145694504650000.0,55526,1100378,0.2859
2019-05-03,BPCL,EQ,378.45,384.95,386.5,378.55,380.6,380.75,382.47,5369514,205370019775000.0,65605,1147278,0.2137
2019-05-06,BPCL,EQ,380.75,380.5,392.0,380.1,389.95,390.35,388.32,9270990,360011757905000.0,116460,3378152,0.3644
2019-05-07,BPCL,EQ,390.35,388.45,388.45,372.1,380.0,378.85,377.34,7497322,282901829475000.0,90459,1364064,0.1819
2019-05-08,BPCL,EQ,378.85,378.05,383.4,373.1,376.4,379.8,379.3,3801308,144182819215000.0,58078,858245,0.2258
2019-05-09,BPCL,EQ,379.8,379.6,379.6,366.55,367.7,368.05,371.61,4513542,167728742435000.0,45216,790374,0.1751
2019-05-10,BPCL,EQ,368.05,367.05,367.5,359.8,362.45,362.95,361.95,4116360,148990823500000.0,51910,868426,0.21100000000000002
2019-05-13,BPCL,EQ,362.95,362.0,367.95,352.85,354.1,355.1,360.13,3810145,137213838084999.98,36083,945955,0.2483
2019-05-14,BPCL,EQ,355.1,354.1,360.8,348.0,358.65,358.6,353.92,4999475,176942051520000.0,59751,2006767,0.40140000000000003
2019-05-15,BPCL,EQ,358.6,359.0,368.25,356.85,357.25,359.55,363.63,6322474,229903843244999.97,64387,1651950,0.2613
2019-05-16,BPCL,EQ,359.55,356.0,378.85,351.5,377.0,375.55,366.7,6605024,242208966785000.0,82869,2159842,0.327
